encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,oracle_source,oracle_sources,oracle_source_count,selected_source,shortlist,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
clip_b32,beans,rank_only,-1,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,rendered_sst2|tiny_imagenet|stl10,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,facility_subspace,-1,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,cifar100,organcmnist|cifar100|usps,0.9067308306694031,0.901923143863678,0.0048076868057250755,0.17857125462314938,0.884375,0.8921875,-0.0078125,5,3,21
clip_b32,beans,kcenter_subspace,-1,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,rendered_sst2|stl10|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,dpp_subspace,-1,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,rendered_sst2|tiny_imagenet|stl10,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,rendered_sst2|stl10|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,full_merged_rank,-1,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,rendered_sst2|tiny_imagenet|stl10,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,0,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,fashion_mnist|organamnist|rendered_sst2,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,1,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,fashion_mnist|organsmnist|retinamnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,2,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,mnist,dermamnist|mnist|rendered_sst2,0.9067308306694031,0.8990385174751282,0.00769231319427488,0.28571453872996344,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,3,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,cifar10|retinamnist|stl10,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,4,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,fashion_mnist,dermamnist|fashion_mnist|pneumoniamnist,0.9067308306694031,0.8961539268493652,0.010576903820037842,0.39285649450446847,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,5,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,organamnist|pneumoniamnist|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,6,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,bloodmnist|rendered_sst2|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,7,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,breastmnist|rendered_sst2|svhn,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,8,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,retinamnist|tissuemnist|usps,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,9,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,dermamnist|fashion_mnist|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,10,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,bloodmnist|organamnist|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,11,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,svhn,breastmnist|svhn|tissuemnist,0.9067308306694031,0.8942308068275452,0.012500023841857888,0.4642866789079868,0.884375,0.890625,-0.006249999999999978,5,3,21
clip_b32,beans,random,12,3,21,0.8571428571428572,1,0.6666666666666666,organsmnist,organsmnist,1,organsmnist,organamnist|organsmnist|tiny_imagenet,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,13,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,pneumoniamnist|rendered_sst2|svhn,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,14,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,cifar10|organcmnist|rendered_sst2,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,15,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,cifar100,cifar10|cifar100|rendered_sst2,0.9067308306694031,0.901923143863678,0.0048076868057250755,0.17857125462314938,0.884375,0.8921875,-0.0078125,5,3,21
clip_b32,beans,random,16,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,mnist,mnist|octmnist|retinamnist,0.9067308306694031,0.8990385174751282,0.00769231319427488,0.28571453872996344,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,17,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,cifar100_coarse|organsmnist|pathmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,18,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,dermamnist|fashion_mnist|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,19,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,organcmnist|pathmnist|rendered_sst2,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,20,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,fashion_mnist,breastmnist|fashion_mnist|tissuemnist,0.9067308306694031,0.8961539268493652,0.010576903820037842,0.39285649450446847,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,21,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,breastmnist|fashion_mnist|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,22,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,mnist,cifar100_coarse|mnist|pathmnist,0.9067308306694031,0.8990385174751282,0.00769231319427488,0.28571453872996344,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,23,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,dermamnist|organsmnist|rendered_sst2,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,24,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,organamnist|retinamnist|usps,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,25,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,cifar100_coarse|organsmnist|rendered_sst2,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,26,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,breastmnist|cifar10|usps,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,27,3,21,0.8571428571428572,1,0.6666666666666666,organsmnist,organsmnist,1,organsmnist,cifar100_coarse|organsmnist|tiny_imagenet,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,28,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,svhn,breastmnist|pathmnist|svhn,0.9067308306694031,0.8942308068275452,0.012500023841857888,0.4642866789079868,0.884375,0.890625,-0.006249999999999978,5,3,21
clip_b32,beans,random,29,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,usps,breastmnist|pathmnist|usps,0.9067308306694031,0.8932692766189575,0.013461554050445579,0.5000006641661565,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,30,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,organamnist,organamnist|pneumoniamnist|svhn,0.9067308306694031,0.8951923727989197,0.011538457870483354,0.4285713653175081,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,31,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,fashion_mnist,dermamnist|fashion_mnist|tissuemnist,0.9067308306694031,0.8961539268493652,0.010576903820037842,0.39285649450446847,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,32,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,cifar100,cifar100|organamnist|stl10,0.9067308306694031,0.901923143863678,0.0048076868057250755,0.17857125462314938,0.884375,0.8921875,-0.0078125,5,3,21
clip_b32,beans,random,33,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,cifar10|fashion_mnist|svhn,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,34,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,svhn,pathmnist|pneumoniamnist|svhn,0.9067308306694031,0.8942308068275452,0.012500023841857888,0.4642866789079868,0.884375,0.890625,-0.006249999999999978,5,3,21
clip_b32,beans,random,35,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,mnist,mnist|organcmnist|usps,0.9067308306694031,0.8990385174751282,0.00769231319427488,0.28571453872996344,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,36,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,dermamnist|organamnist|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,37,3,21,0.8571428571428572,1,0.6666666666666666,organsmnist,organsmnist,1,organsmnist,bloodmnist|cifar100|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,38,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,fashion_mnist,cifar100_coarse|fashion_mnist|pneumoniamnist,0.9067308306694031,0.8961539268493652,0.010576903820037842,0.39285649450446847,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,39,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,bloodmnist|cifar10|svhn,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,40,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,pathmnist,octmnist|pathmnist|tissuemnist,0.9067308306694031,0.8923077583312988,0.014423072338104248,0.5357142066468872,0.884375,0.890625,-0.006249999999999978,5,3,21
clip_b32,beans,random,41,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,organcmnist,breastmnist|organcmnist|tissuemnist,0.9067308306694031,0.8971154451370239,0.009615385532379173,0.3571429520237378,0.884375,0.896875,-0.012499999999999956,5,3,21
clip_b32,beans,random,42,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,breastmnist|cifar10|pathmnist,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,43,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,breastmnist|tiny_imagenet|tissuemnist,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,44,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,organamnist|organsmnist|svhn,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,45,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,bloodmnist|pathmnist|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,46,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,usps,breastmnist|tissuemnist|usps,0.9067308306694031,0.8932692766189575,0.013461554050445579,0.5000006641661565,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,47,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,organamnist|organcmnist|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,48,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,stl10,bloodmnist|breastmnist|stl10,0.9067308306694031,0.8961539149284363,0.010576915740966752,0.39285693728190346,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,49,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,bloodmnist|tiny_imagenet|usps,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,50,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,breastmnist|retinamnist|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,51,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,organcmnist,cifar100_coarse|organcmnist|pneumoniamnist,0.9067308306694031,0.8971154451370239,0.009615385532379173,0.3571429520237378,0.884375,0.896875,-0.012499999999999956,5,3,21
clip_b32,beans,random,52,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,svhn|tiny_imagenet|usps,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,53,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,mnist|organamnist|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,54,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,usps,cifar100_coarse|tissuemnist|usps,0.9067308306694031,0.8932692766189575,0.013461554050445579,0.5000006641661565,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,55,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,usps,breastmnist|pneumoniamnist|usps,0.9067308306694031,0.8932692766189575,0.013461554050445579,0.5000006641661565,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,56,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,cifar10|stl10|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,57,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,mnist,breastmnist|mnist|pneumoniamnist,0.9067308306694031,0.8990385174751282,0.00769231319427488,0.28571453872996344,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,58,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,organcmnist,organcmnist|svhn|usps,0.9067308306694031,0.8971154451370239,0.009615385532379173,0.3571429520237378,0.884375,0.896875,-0.012499999999999956,5,3,21
clip_b32,beans,random,59,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,rendered_sst2|svhn|tissuemnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,60,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,cifar100_coarse|organcmnist|rendered_sst2,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,61,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,fashion_mnist,bloodmnist|cifar100_coarse|fashion_mnist,0.9067308306694031,0.8961539268493652,0.010576903820037842,0.39285649450446847,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,62,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,fashion_mnist,cifar100_coarse|fashion_mnist|pathmnist,0.9067308306694031,0.8961539268493652,0.010576903820037842,0.39285649450446847,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,63,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,organamnist|pneumoniamnist|rendered_sst2,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,64,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,rendered_sst2|stl10|usps,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,65,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,cifar100,cifar100|cifar100_coarse|mnist,0.9067308306694031,0.901923143863678,0.0048076868057250755,0.17857125462314938,0.884375,0.8921875,-0.0078125,5,3,21
clip_b32,beans,random,66,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,svhn,bloodmnist|octmnist|svhn,0.9067308306694031,0.8942308068275452,0.012500023841857888,0.4642866789079868,0.884375,0.890625,-0.006249999999999978,5,3,21
clip_b32,beans,random,67,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,rendered_sst2|stl10|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,68,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,cifar100,cifar100|tissuemnist|usps,0.9067308306694031,0.901923143863678,0.0048076868057250755,0.17857125462314938,0.884375,0.8921875,-0.0078125,5,3,21
clip_b32,beans,random,69,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,organcmnist,octmnist|organcmnist|pneumoniamnist,0.9067308306694031,0.8971154451370239,0.009615385532379173,0.3571429520237378,0.884375,0.896875,-0.012499999999999956,5,3,21
clip_b32,beans,random,70,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,dermamnist|organamnist|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,71,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar100_coarse,cifar100_coarse|pneumoniamnist|tissuemnist,0.9067308306694031,0.8913462162017822,0.01538461446762085,0.5714286346824918,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,72,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,usps,breastmnist|dermamnist|usps,0.9067308306694031,0.8932692766189575,0.013461554050445579,0.5000006641661565,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,73,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,organcmnist|retinamnist|stl10,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,74,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,stl10,cifar100_coarse|stl10|usps,0.9067308306694031,0.8961539149284363,0.010576915740966752,0.39285693728190346,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,75,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,octmnist|rendered_sst2|usps,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,76,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,mnist|pneumoniamnist|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,77,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,organamnist,dermamnist|organamnist|pneumoniamnist,0.9067308306694031,0.8951923727989197,0.011538457870483354,0.4285713653175081,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,78,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,organamnist|organsmnist|tissuemnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,79,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,organamnist|rendered_sst2|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,80,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,usps,breastmnist|octmnist|usps,0.9067308306694031,0.8932692766189575,0.013461554050445579,0.5000006641661565,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,81,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,breastmnist|cifar100_coarse|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,82,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,breastmnist,breastmnist|octmnist|pneumoniamnist,0.9067308306694031,0.8884616136550904,0.018269217014312722,0.6785710332344319,0.884375,0.8875,-0.0031249999999999334,5,3,21
clip_b32,beans,random,83,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,cifar10|fashion_mnist|usps,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,84,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,rendered_sst2|tissuemnist|usps,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,85,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,mnist,mnist|pathmnist|stl10,0.9067308306694031,0.8990385174751282,0.00769231319427488,0.28571453872996344,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,86,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,organcmnist,bloodmnist|fashion_mnist|organcmnist,0.9067308306694031,0.8971154451370239,0.009615385532379173,0.3571429520237378,0.884375,0.896875,-0.012499999999999956,5,3,21
clip_b32,beans,random,87,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,pathmnist|rendered_sst2|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,88,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,organamnist,bloodmnist|organamnist|pathmnist,0.9067308306694031,0.8951923727989197,0.011538457870483354,0.4285713653175081,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,89,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,breastmnist|cifar10|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,90,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,bloodmnist|cifar10|stl10,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,91,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,cifar100,cifar10|cifar100|usps,0.9067308306694031,0.901923143863678,0.0048076868057250755,0.17857125462314938,0.884375,0.8921875,-0.0078125,5,3,21
clip_b32,beans,random,92,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,cifar10|pneumoniamnist|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,93,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,cifar10|organamnist|organcmnist,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,94,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,bloodmnist|pneumoniamnist|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,95,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,organamnist|retinamnist|stl10,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,96,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,dermamnist|rendered_sst2|tissuemnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
