encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
dinov2_b14,dpp_subspace,3,7,7,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.0004185675074840197,0.044418027198902706,-0.00027965647833689503,0.85,3.0,0.8125,False
dinov2_b14,dpp_subspace,5,7,7,0.7142857142857143,0.47619047619047616,0.7142857142857143,0.7857142857142857,0.00027851271389909914,0.028060398502386674,-0.00024537018367222697,0.75,5.0,0.6875,False
dinov2_b14,dpp_subspace,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.5,8.0,0.5,False
dinov2_b14,facility_subspace,3,7,7,0.0,0.380952380952381,0.14285714285714285,0.42857142857142855,0.00336175826429354,0.12731903089857693,0.004609841959817047,0.85,3.0,0.8125,False
dinov2_b14,facility_subspace,5,7,7,0.0,0.47619047619047616,0.14285714285714285,0.5238095238095238,0.003354159864177594,0.12702550362172432,0.006463943208966911,0.75,5.0,0.6875,False
dinov2_b14,facility_subspace,10,7,7,0.0,0.5238095238095238,0.14285714285714285,0.5714285714285714,0.003300826341358246,0.12557148189215975,0.007846803324563143,0.5,10.0,0.375,False
dinov2_b14,kcenter_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0008514675187544864,0.09203701380423211,0.0017292720930916733,0.85,3.0,0.8125,False
dinov2_b14,kcenter_subspace,5,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0007685717993302881,0.08291848746990549,0.00485427209309167,0.75,5.0,0.6875,False
dinov2_b14,kcenter_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.8571428571428571,0.619047619047619,0.00020482869935234405,0.019955159393172075,0.0037724869591849097,0.5,10.0,0.375,False
dinov2_b14,pool_vendi_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0008514675187544864,0.09203701380423211,0.0017292720930916733,0.85,3.0,0.8125,False
dinov2_b14,pool_vendi_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.00029693408742275426,0.030086748967244115,0.0010939155306134904,0.75,5.0,0.6875,False
dinov2_b14,pool_vendi_subspace,10,7,7,0.8571428571428571,0.5714285714285714,1.0,0.5952380952380951,0.00013816125146742003,0.015197732990799443,0.0035714285714285587,0.5,10.0,0.375,False
dinov2_b14,random,3,700,7,0.13285714285714287,0.1414285714285714,0.15285714285714286,0.21071428571428572,0.0047871422951631,0.20797369478896827,0.0055244458402906,0.85,2.932857142857143,0.8166964285714285,False
dinov2_b14,random,5,700,7,0.24571428571428572,0.2557142857142857,0.2757142857142857,0.34928571428571425,0.0034869041008628626,0.14594362249598927,0.004167680025100696,0.75,4.712857142857143,0.7054464285714286,False
dinov2_b14,random,10,700,7,0.4957142857142857,0.5109523809523809,0.5371428571428571,0.6321428571428571,0.0017768053614466701,0.07169887004969074,0.002644540258816302,0.5,8.891428571428571,0.4442857142857143,False
dinov2_b14,rank_only,3,7,7,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.47619047619047616,0.0005360481117153545,0.05935853685949447,0.0021209580557686814,0.85,2.0,0.875,False
dinov2_b14,rank_only,5,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.75,4.0,0.75,False
dinov2_b14,rank_only,10,7,7,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7857142857142857,0.00016610552125692228,0.017903575185891564,0.0012738125664847175,0.5,7.0,0.5625,False
