seed,target,accuracy,config,construction_seed,overlap,budget,method,selected
0,beans,0.8159204125404358,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
0,dtd,0.5617021322250366,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
0,eurosat,0.8049999475479126,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
0,fgvc_aircraft,0.1099999994039535,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
0,flowers102,0.7156863212585449,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
0,food101,0.2574257254600525,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
0,gtsrb,0.6511628031730652,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
0,oxford_pets,0.8783783912658691,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
1,beans,0.8059701919555664,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
1,dtd,0.5531914830207825,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
1,eurosat,0.8399999141693115,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
1,fgvc_aircraft,0.1149999946355819,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
1,flowers102,0.6372549533843994,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
1,food101,0.2079207897186279,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
1,gtsrb,0.604651153087616,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
1,oxford_pets,0.8783784508705139,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
2,beans,0.8507462739944458,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
2,dtd,0.5021276473999023,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
2,eurosat,0.8600000143051147,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
2,fgvc_aircraft,0.1249999925494194,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
2,flowers102,0.6421569585800171,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
2,food101,0.2871286869049072,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
2,gtsrb,0.6604651212692261,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
2,oxford_pets,0.9009009599685668,seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet
0,beans,0.8208955526351929,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
0,dtd,0.5659574270248413,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
0,eurosat,0.8349999785423279,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
0,fgvc_aircraft,0.1699999868869781,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
0,flowers102,0.6421569585800171,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
0,food101,0.2475247383117675,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
0,gtsrb,0.6279069781303406,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
0,oxford_pets,0.8693694472312927,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
1,beans,0.8308457732200623,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
1,dtd,0.5319148898124695,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
1,eurosat,0.8699999451637268,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
1,fgvc_aircraft,0.1550000011920929,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
1,flowers102,0.6323530077934265,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
1,food101,0.1831683218479156,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
1,gtsrb,0.6372092962265015,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
1,oxford_pets,0.8738739490509033,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
2,beans,0.8557213544845581,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
2,dtd,0.4978723526000976,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
2,eurosat,0.8699999451637268,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
2,fgvc_aircraft,0.1500000059604644,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
2,flowers102,0.6911765336990356,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
2,food101,0.2227722704410553,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
2,gtsrb,0.6372092962265015,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
2,oxford_pets,0.9009009599685668,seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10
0,beans,0.7711442708969116,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
0,dtd,0.5744680166244507,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
0,eurosat,0.8199999332427979,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
0,fgvc_aircraft,0.1399999856948852,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
0,flowers102,0.6519608497619629,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
0,food101,0.25247523188591,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
0,gtsrb,0.6511628031730652,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
0,oxford_pets,0.8693694472312927,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
1,beans,0.8059701323509216,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
1,dtd,0.5191489458084106,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
1,eurosat,0.8549999594688416,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
1,fgvc_aircraft,0.1399999856948852,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
1,flowers102,0.6274510622024536,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
1,food101,0.2326732575893402,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
1,gtsrb,0.5813953280448914,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
1,oxford_pets,0.92342346906662,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
2,beans,0.8457711338996887,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
2,dtd,0.4893617033958435,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
2,eurosat,0.8449999690055847,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
2,fgvc_aircraft,0.1349999904632568,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
2,flowers102,0.6862745881080627,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
2,food101,0.2623762488365173,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
2,gtsrb,0.6279069781303406,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
2,oxford_pets,0.9144144654273988,seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion
0,beans,0.8208955526351929,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
0,dtd,0.570212721824646,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
0,eurosat,0.8199999928474426,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
0,fgvc_aircraft,0.1249999925494194,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
0,flowers102,0.6960785388946533,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
0,food101,0.2425742447376251,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
0,gtsrb,0.5953488349914551,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
0,oxford_pets,0.8378378748893738,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
1,beans,0.7910448312759399,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
1,dtd,0.506382942199707,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
1,eurosat,0.8799999356269836,seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025
