encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.7142857142857143,0.380952380952381,0.7142857142857143,0.619047619047619,0.00295528838211147,0.09765178938978905,-0.005367725236075268,0.85,3.0,0.8125,False
resnet50,dpp_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.0024210708540671594,0.08117919318031673,-0.000903439521789554,0.75,5.0,0.6875,False
resnet50,dpp_subspace,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.761904761904762,0.002384880997878528,0.07821281406307208,-0.0005436522620064935,0.5,8.0,0.5,False
resnet50,facility_subspace,3,7,7,0.0,0.23809523809523808,0.0,0.3095238095238095,0.007754710205594302,0.2301401733150971,-0.0017250657081604131,0.85,3.0,0.8125,False
resnet50,facility_subspace,5,7,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.004586247331453115,0.13244062811016544,0.0016231485775538726,0.75,5.0,0.6875,False
resnet50,facility_subspace,10,7,7,0.2857142857142857,0.47619047619047616,0.2857142857142857,0.5952380952380951,0.0034910084476172387,0.08114115081810282,-0.0005353672163827142,0.5,10.0,0.375,False
resnet50,kcenter_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.85,3.0,0.8125,False
resnet50,kcenter_subspace,5,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.75,5.0,0.6875,False
resnet50,kcenter_subspace,10,7,7,0.8571428571428571,0.5238095238095238,0.8571428571428571,0.5952380952380951,9.143004110880235e-05,0.007494259253762033,0.00034920488085064615,0.5,9.0,0.4375,False
resnet50,pool_vendi_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.85,3.0,0.8125,False
resnet50,pool_vendi_subspace,5,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.75,5.0,0.6875,False
resnet50,pool_vendi_subspace,10,7,7,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5952380952380951,9.143004110880235e-05,0.007494259253762033,0.00034920488085064615,0.5,9.0,0.4375,False
resnet50,random,3,700,7,0.15285714285714286,0.15190476190476188,0.15285714285714286,0.21,0.009268834008009466,0.24108998987971095,0.003323629932744154,0.85,2.9185714285714286,0.8175892857142857,False
resnet50,random,5,700,7,0.24,0.25190476190476185,0.24,0.33619047619047615,0.006878085523212406,0.17783830849783056,0.0018564834509577012,0.75,4.76,0.7025,False
resnet50,random,10,700,7,0.48,0.5071428571428571,0.48,0.6104761904761905,0.003508988360708431,0.09326775052095941,1.8872039658678022e-05,0.5,8.894285714285715,0.44410714285714287,False
resnet50,rank_only,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.003296082771438621,0.10816018357593833,-0.0033587966646467,0.85,2.0,0.875,False
resnet50,rank_only,5,7,7,0.7142857142857143,0.619047619047619,0.7142857142857143,0.619047619047619,0.002586861510594301,0.08629134768088638,-0.0035820109503609887,0.75,4.0,0.75,False
resnet50,rank_only,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.002384880997878528,0.07821281406307208,-0.0005436522620064935,0.5,7.0,0.5625,False
